NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
7,21/12/2020-2/01/2021,Dec 24 2020,7227f1ac78a257937feaa9fe74a2427b62326074,    fix: don't skip method instructions in fallback mode (#1063),completed: 607 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/7227f1ac78a257937feaa9fe74a2427b62326074
7,21/12/2020-2/01/2021,Dec 24 2020,23f088105ed0124a971e1fc3613f470d62d9ad6f,    fix(gui): synchronized conditional usageList remove method added (PR #1065),completed: 607 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/23f088105ed0124a971e1fc3613f470d62d9ad6f
7,21/12/2020-2/01/2021,Dec 21 2020,3a4895b21c95781ec42ee4a5b5c6110c30b72712,    test: check code after reload,completed: 606 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/3a4895b21c95781ec42ee4a5b5c6110c30b72712
7,21/12/2020-2/01/2021,Dec 21 2020,4e6afe9b6409559938b11c60b6d3f1989e65c6a6,    fix(gui): do not show empty rename dialog if user chooses not to change DeobfuscationForceSave settings (PR #1061),completed: 606 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/4e6afe9b6409559938b11c60b6d3f1989e65c6a6
8,18/12/2020-21/12/2020,Dec 21 2020,dd4c20249f82b821c659e231798061356ea1cd68,    fix(gui): increase settings vertical scroll increment (PR #1059),completed: 606 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/dd4c20249f82b821c659e231798061356ea1cd68
8,18/12/2020-21/12/2020,Dec 20 2020,b54b2d47e9a70762b34293d47dd8d99a2e9e895f,    fix(res): use lowercase for resource filename and only use underscore for compatibility with newer android studio (#1043, PR #1057),completed: 606 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/b54b2d47e9a70762b34293d47dd8d99a2e9e895f
8,18/12/2020-21/12/2020,Dec 19 2020,64fb587d0f26da26a96ee0ea5ec9f79cebe62878,    fix(gui): improve rename for overridden methods,completed: 606 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/64fb587d0f26da26a96ee0ea5ec9f79cebe62878
9,16/12/2020-18/12/2020,Dec 18 2020,549f346d5ebfd3bde7a13e2ae0e6e2c217ce2669,    fix: prevent NullPointerException and ConcurrentModificationException when renaming something (PR #1055),completed: 604 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/549f346d5ebfd3bde7a13e2ae0e6e2c217ce2669
11,9/12/2020-12/12/2020,Dec 11 2020,035fce6191694a3f9bda9c7c11f53a4fd9ebff7b,    fix: improve error reporting for instruction decode failure (#1046),completed: 601 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/035fce6191694a3f9bda9c7c11f53a4fd9ebff7b
13,1/12/2020-3/12/2020,Dec 1 2020,76d0a39a0f052f0e966f1f4066fe772a82628ede,    fix: handle empty loop body (#1040),completed: 599 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/76d0a39a0f052f0e966f1f4066fe772a82628ede
14,30/11/2020-1/12/2020,Nov 30 2020,02bfe632454c380a3cf8e7d44affa954b41c8e05,    fix: support AAR files as input (#1034),completed: 597 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/02bfe632454c380a3cf8e7d44affa954b41c8e05
15,23/11/2020-30/11/2020,Nov 30 2020,3a6d645ea392273d55b257ca228818b67c8a8695,    fix(res): do not rename resources names for building res-map.txt (PR #1035),completed: 596 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/3a6d645ea392273d55b257ca228818b67c8a8695
15,23/11/2020-30/11/2020,Nov 24 2020,e65468b97a52c79fb35b20011b53a91de9948628,    fix(gui): proper reference highlighter remove (#1031),completed: 596 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/e65468b97a52c79fb35b20011b53a91de9948628
16,22/11/2020-23/11/2020,Nov 23 2020,f642e11a7ae26756626de1c72f88706e87aec898,    fix(res): fixes ns value (PR #1029),completed: 595 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/f642e11a7ae26756626de1c72f88706e87aec898
16,22/11/2020-23/11/2020,Nov 22 2020,fdc87fe2966f5895c803191396f5b83a8ccd32be,    fix: update class set data to Android API 30,completed: 595 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/fdc87fe2966f5895c803191396f5b83a8ccd32be
17,21/11/2020-22/11/2020,Nov 21 2020,d39849ad00f8c18ac6ccfedb43ebdb8a298a23a2,    fix(res): update android resources to API 30,completed: 594 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/d39849ad00f8c18ac6ccfedb43ebdb8a298a23a2
17,21/11/2020-22/11/2020,Nov 21 2020,d65ee902f75148535ed86e5ebf0de4b951d655f4,    fix: load android res map in getter,completed: 594 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/d65ee902f75148535ed86e5ebf0de4b951d655f4
18,19/11/2020-21/11/2020,Nov 21 2020,6f9619126ada02aaf10918a8b4c020d47902b998,    fix(res): rename invalid res keys (PR #1027),completed: 593 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/6f9619126ada02aaf10918a8b4c020d47902b998
19,16/11/2020-19/11/2020,Nov 19 2020,d3f5154c192cb95614d1425c423c2ee5e4156094,    fix: use text file for store android resource mapping (#1020),completed: 592 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/d3f5154c192cb95614d1425c423c2ee5e4156094
19,16/11/2020-19/11/2020,Nov 18 2020,71aa29cc7104f25d61b7fd91cdc9bd9ab761ad55,    docs: remove pyjadx link (#1024),completed: 592 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/71aa29cc7104f25d61b7fd91cdc9bd9ab761ad55
19,16/11/2020-19/11/2020,Nov 16 2020,98d8015015d78cd7950b20501eef54f4be83f84b,    refactor: split field init attribute,completed: 592 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/98d8015015d78cd7950b20501eef54f4be83f84b
20,10/11/2020-16/11/2020,Nov 15 2020,29ff86b74fa8c9dad16ac1a283ae15b1c3d5aa1e,    fix: don't unload attributes added to class at initial load (#1010),completed: 591 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/29ff86b74fa8c9dad16ac1a283ae15b1c3d5aa1e
20,10/11/2020-16/11/2020,Nov 14 2020,381afa27410249aae4a99a3f88bb65ecce548f6c,    chore: fix release config,completed: 591 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/381afa27410249aae4a99a3f88bb65ecce548f6c
20,10/11/2020-16/11/2020,Nov 11 2020,82d4099541790f31f5cd00964f60436748f47f0b,    fix(res): skip unused bytes in xml attributes parsing (#1013),completed: 591 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/82d4099541790f31f5cd00964f60436748f47f0b
20,10/11/2020-16/11/2020,Nov 10 2020,5f659c8de7c6a289670041a31a5099feb73c76da,    fix: don't apply again already resolved types (#1012),completed: 591 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/5f659c8de7c6a289670041a31a5099feb73c76da
21,9/11/2020-10/11/2020,Nov 10 2020,e054ea6683fd047d81803bf45be5cf8ff49d9cad,    fix: adjust limits to skip processing of large methods (#1012),completed: 591 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/e054ea6683fd047d81803bf45be5cf8ff49d9cad
