NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK,TEST PATH
33,28/08/2020-12/09/2020,Aug 28 2020,ae9317b3f6e7fc2818ea1d50cc798cafd3188461,    Add cacheKey to LottieCompositionFactory call (#1617),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/ae9317b3f6e7fc2818ea1d50cc798cafd3188461,lottie/src/test/java/com/airbnb/lottie
34,27/08/2020-29/08/2020,Aug 28 2020,6e90fe5454c538d25c54139656ccc0667df4c3aa,    Fixed some typos in the CHANGELOG,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/6e90fe5454c538d25c54139656ccc0667df4c3aa,lottie/src/test/java/com/airbnb/lottie
34,27/08/2020-29/08/2020,Aug 28 2020,0bd4fa3defe42fa876f47d39c0e0cc8f45320acc,    Update deploy snapshot script (#1620),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/0bd4fa3defe42fa876f47d39c0e0cc8f45320acc,lottie/src/test/java/com/airbnb/lottie
34,27/08/2020-29/08/2020,Aug 29 2020,752f9cdc71322248a67aba29b8500a6d0bab5681,    Remove extra space that was breaking link (#1618),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/752f9cdc71322248a67aba29b8500a6d0bab5681,lottie/src/test/java/com/airbnb/lottie
34,27/08/2020-29/08/2020,Aug 28 2020,bb518009c47b5f93d505d86f6365404f822033bd,    v3.4.2,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/bb518009c47b5f93d505d86f6365404f822033bd,lottie/src/test/java/com/airbnb/lottie
34,27/08/2020-29/08/2020,Aug 27 2020,ba6d6ee11822e55571ce6e7864ca361b677d5bae,    Switch to GitHub Actions (#1616),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/ba6d6ee11822e55571ce6e7864ca361b677d5bae,lottie/src/test/java/com/airbnb/lottie
34,27/08/2020-29/08/2020,Aug 27 2020,2d5ca7184c7d0fb805c41825ef4ccd0507250f14,    More leniently parse opacity (#1613),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/2d5ca7184c7d0fb805c41825ef4ccd0507250f14,lottie/src/test/java/com/airbnb/lottie
35,20/08/2020-27/08/2020,Aug 27 2020,ba6d6ee11822e55571ce6e7864ca361b677d5bae,    Switch to GitHub Actions (#1616),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/ba6d6ee11822e55571ce6e7864ca361b677d5bae,lottie/src/test/java/com/airbnb/lottie
35,20/08/2020-27/08/2020,Aug 27 2020,2d5ca7184c7d0fb805c41825ef4ccd0507250f14,    More leniently parse opacity (#1613),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/2d5ca7184c7d0fb805c41825ef4ccd0507250f14,lottie/src/test/java/com/airbnb/lottie
35,20/08/2020-27/08/2020,Aug 20 2020,937f5352229db1034c46e7be4e48fdc90ef0b65e,    Fix crash of sample (#1589),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/937f5352229db1034c46e7be4e48fdc90ef0b65e,lottie/src/test/java/com/airbnb/lottie
36,29/07/2020-20/08/2020,Aug 20 2020,937f5352229db1034c46e7be4e48fdc90ef0b65e,    Fix crash of sample (#1589),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/937f5352229db1034c46e7be4e48fdc90ef0b65e,lottie/src/test/java/com/airbnb/lottie
37,24/06/2020-29/07/2020,Jul 29 2020,65ec4f568182e240457e8191a8c617f887d1c009,    Disable hardware rendering for Android 7 to avoid native crashes in libhwui.so and libc.so (#1586),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/65ec4f568182e240457e8191a8c617f887d1c009,lottie/src/test/java/com/airbnb/lottie
38,5/06/2020-24/06/2020,Jun 24 2020,617334ba6fe3dd2581d34459ab5f1449ffd9d831,    Fix typo (#1579),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/617334ba6fe3dd2581d34459ab5f1449ffd9d831,lottie/src/test/java/com/airbnb/lottie
39,29/05/2020-5/06/2020,Jun 5 2020,6e3928471e829b47c21d4678aa3ab9047fdcf2df,    v3.4.2-SNAPSHOT,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/6e3928471e829b47c21d4678aa3ab9047fdcf2df,lottie/src/test/java/com/airbnb/lottie
40,12/05/2020-29/05/2020,May 29 2020,b7bd15c7a7bbd9f0f576170937b11a69be485527,    Add COMPOSITION in KeyPath to target root composition layer. (#1559),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/b7bd15c7a7bbd9f0f576170937b11a69be485527,lottie/src/test/java/com/airbnb/lottie
41,2/03/2020-12/05/2020,May 12 2020,848a86cd84976aae8a1bdd49aac9859523cfca7c,    Fix tests (#1563),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/848a86cd84976aae8a1bdd49aac9859523cfca7c,lottie/src/test/java/com/airbnb/lottie
42,24/02/2020-2/03/2020,Mar 2 2020,708b54b2e3c605cc429906e47015f5a075f54b72,    Add lottieAnimationViewStyle attribute to set a default style in themes (#1524),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/708b54b2e3c605cc429906e47015f5a075f54b72,lottie/src/test/java/com/airbnb/lottie
43,22/02/2020-24/02/2020,Feb 24 2020,1330634a058fb32012e190dd1b6dab6c10069674,    Updated LottieSample libraries and Lottiefiles API (#1522),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/1330634a058fb32012e190dd1b6dab6c10069674,lottie/src/test/java/com/airbnb/lottie
43,22/02/2020-24/02/2020,Feb 22 2020,b56509c83a1025ea714ad90dae3aaae832f554cc,    v3.4.0,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/b56509c83a1025ea714ad90dae3aaae832f554cc,lottie/src/test/java/com/airbnb/lottie
