NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK,TEST PATH
88,10/04/2019-17/04/2019,Apr 17 2019,423c336e8c30e063b0f8f233820f8ec8eaceafaa,    Respect disabled system animations (#1187),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/423c336e8c30e063b0f8f233820f8ec8eaceafaa,lottie/src/test/java/com/airbnb/lottie
89,21/03/2019-10/04/2019,Apr 10 2019,a483b7695e2a9ec5e8ea4b50b1223f806e890ca5,    Fix issues about visibility changes (#1174),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/a483b7695e2a9ec5e8ea4b50b1223f806e890ca5,lottie/src/test/java/com/airbnb/lottie
90,18/03/2019-21/03/2019,Mar 21 2019,d7e044f21ee2fde0b69dde068f76503aa23fa5a8,    v3.0.0,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/d7e044f21ee2fde0b69dde068f76503aa23fa5a8,lottie/src/test/java/com/airbnb/lottie
92,10/03/2019-11/03/2019,Mar 11 2019,e69160e59ca5945638c5e02a2467125a9e0d715a,    v3.0.0-beta4,completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/e69160e59ca5945638c5e02a2467125a9e0d715a,lottie/src/test/java/com/airbnb/lottie
92,10/03/2019-11/03/2019,Mar 10 2019,e3bba6cbef78f1883e320ae2268e01b2889a073c,    v3.0.0-beta3,completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/e3bba6cbef78f1883e320ae2268e01b2889a073c,lottie/src/test/java/com/airbnb/lottie
92,10/03/2019-11/03/2019,Mar 10 2019,34195c2e3ab5576e30fad4bd0826acf160636bde,    Added support for emoji in TextDelegates (#1150),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/34195c2e3ab5576e30fad4bd0826acf160636bde,lottie/src/test/java/com/airbnb/lottie
92,10/03/2019-11/03/2019,Mar 10 2019,77ebba9924cab8cd0c6f69646ed04640c1388c57,    Added radius size & position value callbacks for rectangle (#1146),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/77ebba9924cab8cd0c6f69646ed04640c1388c57,lottie/src/test/java/com/airbnb/lottie
93,5/03/2019-10/03/2019,Mar 10 2019,e3bba6cbef78f1883e320ae2268e01b2889a073c,    v3.0.0-beta3,completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/e3bba6cbef78f1883e320ae2268e01b2889a073c,lottie/src/test/java/com/airbnb/lottie
93,5/03/2019-10/03/2019,Mar 10 2019,34195c2e3ab5576e30fad4bd0826acf160636bde,    Added support for emoji in TextDelegates (#1150),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/34195c2e3ab5576e30fad4bd0826acf160636bde,lottie/src/test/java/com/airbnb/lottie
93,5/03/2019-10/03/2019,Mar 10 2019,77ebba9924cab8cd0c6f69646ed04640c1388c57,    Added radius size & position value callbacks for rectangle (#1146),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/77ebba9924cab8cd0c6f69646ed04640c1388c57,lottie/src/test/java/com/airbnb/lottie
93,5/03/2019-10/03/2019,Mar 10 2019,47d1d57b6b2720de555f62fa05750812744bf570,    Prevent a crash on older versions of Android (#1148),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/47d1d57b6b2720de555f62fa05750812744bf570,lottie/src/test/java/com/airbnb/lottie
94,3/03/2019-5/03/2019,Mar 5 2019,0794b3c46d542eebeb8117528518e470b8d6bd3f,    Add support for multiline text (#1138),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/0794b3c46d542eebeb8117528518e470b8d6bd3f,lottie/src/test/java/com/airbnb/lottie
95,2/03/2019-3/03/2019,Mar 3 2019,7a7a954e6eb5171dabc708f4917020f38d5318f3,    Allow transform properties to be nullable (#1136),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/7a7a954e6eb5171dabc708f4917020f38d5318f3,lottie/src/test/java/com/airbnb/lottie
96,24/02/2019-2/03/2019,Mar 2 2019,c3f3a885b087dc897444596d0a271d701eb8e9b0,    Reimplemented masks and mattes (#1135),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/c3f3a885b087dc897444596d0a271d701eb8e9b0,lottie/src/test/java/com/airbnb/lottie
97,18/02/2019-24/02/2019,Feb 24 2019,c15c126a6da9c53c277b67462ae128083215ef1f,    Use idiomatic enum constant naming (#1133),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/c15c126a6da9c53c277b67462ae128083215ef1f,lottie/src/test/java/com/airbnb/lottie
98,17/02/2019-18/02/2019,Feb 18 2019,3a4eacdac8ea921ed9b32d0e5dab18cf4b6d9d2a,    Prevent setMaxFrame from truncating the last frame. (#1126),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/3a4eacdac8ea921ed9b32d0e5dab18cf4b6d9d2a,lottie/src/test/java/com/airbnb/lottie
98,17/02/2019-18/02/2019,Feb 17 2019,6078d2f47710cc3820348c77fb6e2074a8847fee,    Fix not animating the first time (#1125),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/6078d2f47710cc3820348c77fb6e2074a8847fee,lottie/src/test/java/com/airbnb/lottie
99,16/02/2019-17/02/2019,Feb 17 2019,deb6e2208721902d6057ed88f18361e0c77eb6d8,    v3.0.0-beta2,completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/deb6e2208721902d6057ed88f18361e0c77eb6d8,lottie/src/test/java/com/airbnb/lottie
99,16/02/2019-17/02/2019,Feb 17 2019,60a7912604bf2dea39beddd555d2c12f12bfe83f,    [Sample App] Use new lottiefiles url (#1124),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/60a7912604bf2dea39beddd555d2c12f12bfe83f,lottie/src/test/java/com/airbnb/lottie
99,16/02/2019-17/02/2019,Feb 16 2019,51188e6119f432e250f3d0a671bde8af77a796d4,    Replace task observer thread with FutureTask subclass (#1083),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/51188e6119f432e250f3d0a671bde8af77a796d4,lottie/src/test/java/com/airbnb/lottie
99,16/02/2019-17/02/2019,Feb 16 2019,f87b1fdd8fb1cb4fd0e0931e53330caaa386da3c,    Added support for Skew and Skew Angle (#1118),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/f87b1fdd8fb1cb4fd0e0931e53330caaa386da3c,lottie/src/test/java/com/airbnb/lottie
99,16/02/2019-17/02/2019,Feb 16 2019,48aa7583984dde5aeab63012245e750ea1a849e4,    Add link to Lottie-Windows (#1119),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/48aa7583984dde5aeab63012245e750ea1a849e4,lottie/src/test/java/com/airbnb/lottie
100,15/02/2019-16/02/2019,Feb 16 2019,2ca335a47fc97835b7c3ceaf44301b13e2bc0283,    Support animations without end values in each keyframe (#1104),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/2ca335a47fc97835b7c3ceaf44301b13e2bc0283,lottie/src/test/java/com/airbnb/lottie
100,15/02/2019-16/02/2019,Feb 16 2019,5f8f4861868fa578238a4cc05034fba1b1bfb7f3,    Allow multiple trim paths to operate on the same content (#1103),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/5f8f4861868fa578238a4cc05034fba1b1bfb7f3,lottie/src/test/java/com/airbnb/lottie
100,15/02/2019-16/02/2019,Feb 16 2019,a38bff9372c36109caf3a9e66484764c37e194e0,    Add information while waiting for jobs to finish (#1120),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/a38bff9372c36109caf3a9e66484764c37e194e0,lottie/src/test/java/com/airbnb/lottie
100,15/02/2019-16/02/2019,Feb 16 2019,3bfcc3ded8642bec338ee98d5e46f9581eb890e8,    Updated issue template,completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/3bfcc3ded8642bec338ee98d5e46f9581eb890e8,lottie/src/test/java/com/airbnb/lottie
100,15/02/2019-16/02/2019,Feb 15 2019,779d389678c5b9d86da7a6cbf94175f45e32d57b,    Cleanup travis.yml (#1117),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/779d389678c5b9d86da7a6cbf94175f45e32d57b,lottie/src/test/java/com/airbnb/lottie
101,10/02/2019-15/02/2019,Feb 15 2019,779d389678c5b9d86da7a6cbf94175f45e32d57b,    Cleanup travis.yml (#1117),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/779d389678c5b9d86da7a6cbf94175f45e32d57b,lottie/src/test/java/com/airbnb/lottie
102,2/02/2019-10/02/2019,Feb 10 2019,2a73d550e6845d34a70a8db6998e41d40aab822e,    Added support for markers (#1105),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/2a73d550e6845d34a70a8db6998e41d40aab822e,lottie/src/test/java/com/airbnb/lottie
102,2/02/2019-10/02/2019,Feb 2 2019,a6d4f34c10c14c7c87c91cd851a997f915984b7f,    Pause Lottie when visibility changes (#1098),completed: 252 skipped: 4 failures: 226 errors: 0,https://github.com/airbnb/lottie-android/commit/a6d4f34c10c14c7c87c91cd851a997f915984b7f,lottie/src/test/java/com/airbnb/lottie
103,11/01/2019-2/02/2019,Feb 2 2019,f970d3a8947e2f5eeaf8c852ec3648137f343732,    Close JsonReader after parsing (#1101),completed: 258 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/f970d3a8947e2f5eeaf8c852ec3648137f343732,lottie/src/test/java/com/airbnb/lottie
103,11/01/2019-2/02/2019,Feb 2 2019,b412da75fa257883315d6449e8f2672cba54e02f,    Switch from happo to bitrise git branch (#1099),completed: 252 skipped: 4 failures: 226 errors: 0,https://github.com/airbnb/lottie-android/commit/b412da75fa257883315d6449e8f2672cba54e02f,lottie/src/test/java/com/airbnb/lottie
104,7/01/2019-11/01/2019,Jan 11 2019,a17e7fdf91027203e153102f44d19ffaa2426a53,    Prevent an OOBE (#1084),completed: 248 skipped: 4 failures: 222 errors: 0,https://github.com/airbnb/lottie-android/commit/a17e7fdf91027203e153102f44d19ffaa2426a53,lottie/src/test/java/com/airbnb/lottie
105,4/01/2019-7/01/2019,Jan 7 2019,3c0df996cbf5afbac380f4974bf668c33cc8e818,    v3.0.0-beta1,completed: 248 skipped: 4 failures: 222 errors: 0,https://github.com/airbnb/lottie-android/commit/3c0df996cbf5afbac380f4974bf668c33cc8e818,lottie/src/test/java/com/airbnb/lottie
106,26/12/2018-4/01/2019,Jan 4 2019,88bed53078a691b2f0b1eafb3d32071ab5cdb779,    New RenderMode API (#1072),completed: 248 skipped: 4 failures: 222 errors: 0,https://github.com/airbnb/lottie-android/commit/88bed53078a691b2f0b1eafb3d32071ab5cdb779,lottie/src/test/java/com/airbnb/lottie
107,20/12/2018-26/12/2018,Dec 26 2018,52e4d63419a311559c55f63d06fd91a545ece795,    Add support for naive text alignment. (#1067),completed: 248 skipped: 4 failures: 222 errors: 0,https://github.com/airbnb/lottie-android/commit/52e4d63419a311559c55f63d06fd91a545ece795,lottie/src/test/java/com/airbnb/lottie
108,19/12/2018-20/12/2018,Dec 20 2018,e8f4f381b3760a58cfae407a9e0801f910f1ed58,    Remove decrypt step from Travis,completed: 248 skipped: 4 failures: 222 errors: 0,https://github.com/airbnb/lottie-android/commit/e8f4f381b3760a58cfae407a9e0801f910f1ed58,lottie/src/test/java/com/airbnb/lottie
108,19/12/2018-20/12/2018,Dec 19 2018,0ffb71613661ff27ba2989f3f21cb523f11cfef0,    Disabled travis (#1065),completed: 248 skipped: 4 failures: 222 errors: 0,https://github.com/airbnb/lottie-android/commit/0ffb71613661ff27ba2989f3f21cb523f11cfef0,lottie/src/test/java/com/airbnb/lottie
109,18/12/2018-19/12/2018,Dec 19 2018,20dc13ceec718a9d4eb402a12410d8bda5c14c82,    Enabled travis for tests and lint (#1066),completed: 248 skipped: 4 failures: 222 errors: 0,https://github.com/airbnb/lottie-android/commit/20dc13ceec718a9d4eb402a12410d8bda5c14c82,lottie/src/test/java/com/airbnb/lottie
