NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
2,15/02/2020-19/12/2020,Feb 22 2020,28f4e5a5087196e2ebb0923bba35c84175b3b39a,    Play not resume animation when playAnimation() is called when isShown() is false (#1521),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/28f4e5a5087196e2ebb0923bba35c84175b3b39a
2,15/02/2020-19/12/2020,Feb 15 2020,e82e63c79fbdeda06b7a9caeb870872583e0801b,    Ensure ImageView updates Drawable bounds when not using LottieAnimationView (#1504),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/e82e63c79fbdeda06b7a9caeb870872583e0801b
6,30/05/2019-14/10/2019,Aug 10 2019,ea3a2dcb08533671334cb4fe4b72185dae288611,    Prevent removeAllUdpateListeners from breaking the world (#1354),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/ea3a2dcb08533671334cb4fe4b72185dae288611
6,30/05/2019-14/10/2019,Aug 10 2019,d052572d53e4f4bd8f104036c5cdf51badb4d519,    Fixed endless recycler view animation. #1340,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/d052572d53e4f4bd8f104036c5cdf51badb4d519
6,30/05/2019-14/10/2019,Aug 10 2019,1a5c3661ef146e97f61fbdf9f1d4adc77df451ae,    Fix android Learn url to one that doesn't 404 ;) (#1348),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/1a5c3661ef146e97f61fbdf9f1d4adc77df451ae
6,30/05/2019-14/10/2019,Jul 22 2019,9ff969e3150ad34598807433776b99ae8cdca903,    Apply parent matrix to gradient stroke (#1333),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/9ff969e3150ad34598807433776b99ae8cdca903
6,30/05/2019-14/10/2019,Jul 19 2019,292b5745e3553d908ebc015e46f2876390554485,    Update issue templates,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/292b5745e3553d908ebc015e46f2876390554485
6,30/05/2019-14/10/2019,Jul 19 2019,68aed6a46fc7f663553a6420e6910698ff586e68,    Add custom failure listener support to LottieAnimationView and log network failures (#1321),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/68aed6a46fc7f663553a6420e6910698ff586e68
6,30/05/2019-14/10/2019,Jul 18 2019,40bc7483a48efa7b71167741419d2e2100c51b84,    Enable snapshot deployment (#1328),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/40bc7483a48efa7b71167741419d2e2100c51b84
6,30/05/2019-14/10/2019,Jul 16 2019,3e7b460e249e423da8bcb3d16d38ba38c27d2d7d,    Fuzzy match content types (#1320),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/3e7b460e249e423da8bcb3d16d38ba38c27d2d7d
6,30/05/2019-14/10/2019,Jun 22 2019,d3bb0ccce4973e93950f3332c487bc3493a1d0c1,    Apply scale to dash pattern offset (#1281),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/d3bb0ccce4973e93950f3332c487bc3493a1d0c1
6,30/05/2019-14/10/2019,Jun 19 2019,6b5fc3b756f7e241a8092da133e64fe91621ce00,    Use non final init member to work around Proguard removing null check on final field when optimizing. (#1274),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/6b5fc3b756f7e241a8092da133e64fe91621ce00
6,30/05/2019-14/10/2019,Jun 13 2019,d4affd4f0f723a2c090e5553273ca29e19902d3a,    Allow progress to be set in between frames (#1261),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/d4affd4f0f723a2c090e5553273ca29e19902d3a
6,30/05/2019-14/10/2019,Jun 3 2019,35de50dd3bbe1b11aa6e983209c26ec0bd99d359,    v3.0.6,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/35de50dd3bbe1b11aa6e983209c26ec0bd99d359
